method,audio_id,estoi,tx_gain_db
conv,21,0.780572,34.00
3,21,0.556032,34.00
proposed,22,0.720699,34.00
conv,22,0.736076,34.00
3,22,0.565495,34.00
proposed,23,0.753833,34.00
conv,23,0.780611,34.00
3,23,0.564169,34.00
proposed,24,0.763718,34.00
conv,24,0.781538,34.00
3,24,0.555205,34.00
proposed,25,0.733490,34.00
conv,25,0.767023,34.00
3,25,0.562281,34.00
proposed,26,0.746988,34.00
conv,26,0.751102,34.00
3,26,0.571289,34.00
proposed,27,0.764018,34.00
conv,27,0.793761,34.00
3,27,0.565907,34.00
proposed,28,0.752295,34.00
conv,28,0.781483,34.00
3,28,0.582128,34.00
